month,revenue
01,448638.0
02,1193138.0
03,1141193.0
04,18239549.14456326
05,17547395.909925885
06,17296920.467390154
07,841094.0
08,1134518.0
09,1274521.0
10,1405401.0
11,681317.0
12,398470.0
