month,revenue
01,
02,165.94670981949812
03,-4.353645596737343
04,1498.2878570551397
05,-3.7947935508246267
06,-1.4274223014142384
07,-95.13731937667337
08,34.88599371770575
09,12.340306632420116
10,10.268955945017776
11,-51.5215230386203
12,-41.51474277025232
