order_date,revenue
2021-06-05,
2021-06-08,
2021-06-11,
2021-06-15,
2021-06-17,
2021-06-18,
2021-06-19,24742.14285714286
2021-06-23,34314.142857142855
2021-06-24,106741.28571428571
2021-06-28,102853.71428571429
2021-06-29,122551.42857142857
2021-07-01,132613.0
2021-07-08,131901.0
2021-07-09,179777.57142857142
2021-07-10,170992.57142857142
2021-07-12,95289.57142857143
2021-07-13,91417.42857142857
2021-07-16,78062.71428571429
2021-07-22,67971.42857142857
2021-07-24,70380.0
2021-07-26,38068.57142857143
2021-07-28,37049.0
2021-07-29,40977.0
2021-07-30,48179.42857142857
2021-07-31,42093.57142857143
2021-08-04,99141.0
2021-08-05,95697.85714285714
2021-08-06,119333.14285714286
2021-08-07,124161.85714285714
2021-08-10,122845.14285714286
2021-08-14,117740.42857142857
2021-08-15,125673.28571428571
2021-08-16,80306.28571428571
2021-08-19,81755.42857142857
2021-08-20,41737.71428571428
2021-08-21,36916.42857142857
2021-08-25,49963.28571428572
2021-08-26,47730.857142857145
2021-09-03,42074.142857142855
2021-09-06,29905.714285714286
2021-09-07,29637.14285714286
2021-09-09,29754.714285714286
2021-09-11,30977.714285714286
2021-09-14,103564.57142857143
2021-09-15,119167.14285714286
2021-09-16,130696.71428571429
2021-09-18,143963.57142857142
2021-09-21,151009.14285714287
2021-09-22,166980.85714285713
2021-09-24,165665.85714285713
2021-09-27,78768.85714285714
2021-09-29,62907.28571428572
2021-10-01,56139.57142857143
2021-10-02,44797.857142857145
2021-10-04,67956.28571428571
2021-10-05,73842.28571428571
2021-10-06,77024.28571428571
2021-10-08,94830.71428571429
2021-10-09,102142.71428571429
2021-10-11,96752.71428571429
2021-10-12,102828.0
2021-10-13,70897.14285714286
2021-10-14,57358.857142857145
2021-10-15,63530.71428571428
2021-10-18,45940.142857142855
2021-10-20,49700.142857142855
2021-10-21,62109.28571428572
2021-10-23,77604.85714285714
2021-10-26,78405.14285714286
2021-10-29,74197.42857142857
2021-11-01,68048.42857142857
2021-11-03,82885.28571428571
2021-11-12,80031.0
2021-11-16,80817.57142857143
2021-11-19,67290.42857142857
2021-11-22,86365.0
2021-11-23,83788.57142857143
2021-11-26,80678.28571428571
2021-11-27,67605.42857142857
2021-11-29,66228.71428571429
2021-12-02,51454.42857142857
2021-12-06,43986.57142857143
2021-12-09,30114.285714285714
2021-12-13,33181.142857142855
2021-12-14,41969.28571428572
2021-12-15,41731.142857142855
2021-12-16,38317.42857142857
2021-12-21,36892.28571428572
2021-12-24,41553.71428571428
2021-12-27,36033.42857142857
2021-12-28,34330.71428571428
2021-12-30,27050.714285714286
2022-01-01,32983.28571428572
2022-01-04,31329.0
2022-01-05,30501.714285714286
2022-01-10,25082.285714285714
2022-01-12,24493.14285714286
2022-01-13,22615.0
2022-01-17,25300.285714285714
2022-01-19,18928.85714285714
2022-01-24,17569.85714285714
2022-01-25,19742.428571428572
2022-01-27,19028.285714285714
2022-01-28,22299.85714285714
2022-01-29,42922.0
2022-01-31,38790.857142857145
2022-02-05,56833.57142857143
2022-02-08,58165.28571428572
2022-02-10,56145.42857142857
2022-02-11,56167.142857142855
2022-02-12,61365.71428571428
2022-02-14,43698.71428571428
2022-02-16,47216.0
2022-02-17,29814.571428571428
2022-02-19,33261.42857142857
2022-02-21,71236.42857142857
2022-02-22,94398.28571428571
2022-02-23,89777.28571428571
2022-02-24,101707.42857142857
2022-02-25,110464.85714285714
2022-02-26,118256.42857142857
2022-02-28,112820.71428571429
2022-03-01,75820.71428571429
2022-03-03,71527.85714285714
2022-03-05,70521.71428571429
2022-03-08,54976.857142857145
2022-03-09,50918.142857142855
2022-03-10,52893.857142857145
2022-03-12,54163.857142857145
2022-03-17,58441.0
2022-03-21,42108.142857142855
2022-03-22,39907.42857142857
2022-03-23,57692.71428571428
2022-03-25,52329.57142857143
2022-03-26,78683.85714285714
2022-03-28,86387.28571428571
2022-03-29,87604.28571428571
2022-03-31,97668.85714285714
2022-04-01,180533.35714285713
2022-04-02,241776.7857142857
